#{"t_start": 1779958994.621779, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-68.727941,780,33.124267
83.889046,844,33.249981
41.690706,1000,33.506922
118.925732,710,33.613202
19.209211,1000,33.869474
-86.762247,267,33.908885
-48.921256,1000,34.055164
138.698875,586,34.244189
74.067356,1000,34.393483
-122.192698,645,34.487074
109.561347,708,34.696246
108.242282,686,34.798621
55.227365,1000,35.056067
-112.2582,470,35.125207
73.528907,1000,35.275685
-56.096913,1000,35.526522
-23.210054,1000,35.674921
-44.482195,423,35.736657
116.862944,890,35.977281
15.291067,1000,36.129192
92.912906,723,36.341315
-87.645832,489,36.415319
-102.328094,442,36.481219
23.56333,1000,36.736597
-89.037957,641,36.831221
-40.258798,1000,37.087107
-77.203916,536,37.166945
115.280248,755,37.279577
111.010845,750,37.493964
-60.00858,1000,37.641926
32.037885,1000,37.792047
-105.405584,520,37.972772
119.144121,758,38.08478
53.921723,1000,38.3384
-96.011571,526,38.415931
6.134288,1000,38.570385
82.785463,1000,38.824896
-67.946998,276,38.865673
116.308258,772,38.980089
122.448446,685,39.188408
114.562486,593,39.277676
-119.278555,432,39.341181
56.112801,1000,39.595127
40.002749,1000,39.748628
25.599705,1000,40.001933
48.561108,1000,40.151759
70.291527,1000,40.408342
-153.769196,802,40.528097
16.583374,1000,40.676164
-35.215055,1000,40.926656
-92.209301,1000,41.072263
125.386415,917,41.3156
-188.471081,869,41.442599
102.219832,908,41.680495
-120.457119,892,41.810848
-104.81929,420,41.874139
7.108051,1000,42.131046
-62.352551,1000,42.277523
-115.202734,805,42.498623
140.306081,730,42.606293
34.660975,944,42.850771
10.853874,1000,43.002103
-90.150498,262,43.040699
-73.085611,333,43.089305
-91.890795,668,43.290648
-43.446111,1000,43.439509
-113.962659,583,43.525118
52.901643,1000,43.776705
-58.131217,1000,43.926384
27.961902,1000,44.181647
13.387167,1000,44.335144
88.520683,764,44.55213
-66.253483,1000,44.697422
8.485962,1000,44.94768
47.371891,1000,45.100766
