#{"t_start": 1780053176.0132082, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-185.291328,657,77.31199
-172.536517,158,77.335365
-152.632481,1000,77.553295
-143.078912,1000,77.701451
-237.843258,740,77.880183
-102.346952,363,77.934316
-110.215695,179,77.960595
-138.726943,214,77.992342
-161.653862,157,78.015741
-89.653204,1000,78.234971
-93.132163,1000,78.383221
-144.603426,155,78.406467
-89.8338,152,78.428879
-73.546531,1000,78.648636
-159.258339,271,78.689004
-111.636637,269,78.728798
-177.863137,224,78.761596
-193.064321,350,78.813423
-153.313665,372,78.867974
-189.242853,761,79.050466
-103.153057,154,79.073461
-171.910685,218,79.105388
-160.682228,234,79.139705
-90.293117,178,79.166043
-175.742952,229,79.199629
-234.064803,705,79.372831
-51.425046,1000,79.520144
-140.212523,663,79.617183
-119.409284,191,79.64529
-160.142887,186,79.741974
-121.104871,172,79.7674
-92.949055,172,79.7933
-181.439393,429,79.856088
-165.247653,311,79.901956
-143.044494,338,79.953481
-139.519862,193,79.982237
-172.588467,220,80.014515
-109.396437,1000,80.232513
-180.057867,156,80.255593
-177.952259,489,80.327325
-113.124837,132,80.346745
-140.980012,496,80.491473
-137.593496,201,80.521233
-99.688496,1000,80.668888
-115.268145,446,80.735496
-124.056573,329,80.858223
-101.81056,159,80.882677
-128.593429,167,80.907966
-100.043187,204,80.938083
-215.085861,458,81.005573
-164.452165,481,81.07863
-92.837272,1000,81.296652
-112.641868,369,81.350877
-178.77301,287,81.393424
-215.575483,671,81.492246
-172.552387,514,81.636575
-166.743812,263,81.675398
-171.263402,269,81.71516
-102.222979,144,81.736653
-146.72604,220,81.768933
-179.483442,167,81.793649
-101.018006,224,81.826477
-186.742514,613,81.985547
-161.107581,168,82.010692
-182.849637,141,82.031815
-99.144385,1000,82.180642
-165.067271,414,82.242131
-160.158692,156,82.265063
-166.654864,315,82.382786
-127.682741,248,82.419858
-175.672865,818,82.542635
-88.341775,194,82.571531
-155.591602,266,82.610488
-161.146215,212,82.710607
-117.108152,1000,82.857383
-148.217548,551,82.941081
-120.264108,281,82.982523
-110.207552,191,83.011404
-154.679636,306,83.127988
-106.225237,145,83.149805
-100.927661,259,83.187772
-169.730947,143,83.209367
-165.478517,143,83.231584
-85.554767,1000,83.377862
-96.67962,1000,83.596612
-95.64456,149,83.618983
-218.805222,749,83.728878
-81.634663,235,83.833039
-100.93145,175,83.859314
-198.550351,347,83.910848
-219.954788,925,84.04679
-163.975641,503,84.12074
-51.048837,1000,84.3403
-164.502172,442,84.40601
-107.590348,1000,84.623806
-104.740036,150,84.64616
-130.010569,279,84.687147
-139.902254,618,84.777263
-287.764771,979,84.9906
-121.027616,176,85.018267
-62.180286,1000,85.166559
-122.843919,361,85.219754
-131.280759,404,85.350234
-199.550334,738,85.460199
-107.479685,152,85.482554
-195.335015,383,85.538338
-77.520541,1000,85.754477
-148.67925,321,85.801712
-71.19175,1000,85.947398
-59.530751,1000,86.165525
-90.287817,200,86.195177
-78.964201,1000,86.341084
-169.564797,302,86.456146
-161.293244,147,86.478023
-152.620253,208,86.508716
-72.88889,1000,86.65618
-94.266048,199,86.685584
-117.257451,211,86.716498
-162.834844,515,86.861815
-142.744294,218,86.893824
-164.506752,349,86.945254
-73.7573,1000,87.091574
-147.535503,291,87.208865
-92.290797,1000,87.356939
-84.628578,286,87.399557
-175.323683,508,87.473926
-89.864966,134,87.563478
-92.849126,247,87.600056
-210.569054,930,87.738727
-141.672713,226,87.772027
-147.374522,181,87.798661
-142.874533,187,87.82607
-56.051351,1000,88.043043
-160.9622,431,88.106267
-126.864194,419,88.167918
-102.023281,1000,88.38621
59.143882,920,88.523933
-106.671578,174,88.549734
-99.916652,1000,88.767133
-231.816812,699,88.870245
-127.937278,438,88.934265
-248.06489,914,89.138649
-184.395273,691,89.240816
-108.258122,144,89.263539
-96.014519,383,89.321185
-64.046654,1000,89.540444
-164.632816,437,89.604628
-139.190456,203,89.63486
-127.632742,174,89.660878
-115.028242,148,89.682623
-77.601865,1000,89.902414
-67.675348,1000,90.049353
-118.874107,1000,90.267136
-64.748803,1000,90.414765
-86.737587,1000,90.633697
-150.624087,256,90.671839
-48.628537,1000,90.820848
-85.994347,1000,91.040538
-154.38402,142,91.062286
-103.945091,152,91.08473
-187.211071,793,91.201291
-101.747355,222,91.303644
-105.386395,205,91.334484
-152.910459,150,91.356646
-141.157682,172,91.384794
-148.083285,370,91.439634
-96.081452,176,91.466077
-130.344374,137,91.486762
-139.748309,147,91.508483
-152.996984,167,91.532938
-155.777795,406,91.592539
-142.413789,186,91.689888
-105.878763,244,91.726068
-105.894244,254,91.763614
-191.896241,347,91.814826
-144.504654,1000,91.961914
-55.974836,1000,92.180579
-70.53366,179,92.207423
-98.849711,268,92.246941
-215.634113,483,92.317523
-175.502144,547,92.469073
-180.745057,653,92.56474
-100.005287,176,92.590988
-90.432523,203,92.621106
-77.481355,1000,92.83811
-41.936299,1000,92.984869
-82.950894,172,93.0104
-229.837751,872,93.20864
-110.178388,184,93.235818
-84.756086,197,93.265108
-263.012373,899,93.397642
-61.785885,1000,93.618167
-124.158974,285,93.661178
-154.00778,174,93.686908
-178.327732,313,93.733012
-107.762531,159,93.756934
-72.701573,1000,93.974086
-101.356252,191,94.002538
-112.912039,1000,94.148658
-178.742084,447,94.285345
-240.41301,611,94.375702
-156.691127,276,94.416981
-105.591802,157,94.440022
