timestep,ep_reward,ep_length
10648,-2.1606667,8
10676,0.15566671,7
10704,-3.0343335,7
10720,-0.9263332,31
10728,4.913001,29
10764,-0.24633336,11
10772,44.42067,52
10776,3.3593333,18
10804,-3.9943333,7
10860,6.8973336,22
10884,4.2499995,30
10928,3.6123333,17
10952,4.919,17
10968,20.857,41
10972,22.456999,61
10996,7.520334,11
11000,3.6156669,7
11052,-0.14533329,14
11088,10.273333,40
11088,0.8563335,9
11088,3.937333,22
11108,-0.7216666,5
11136,12.830667,42
11160,1.0843327,13
11184,7.161333,24
11228,6.570333,11
11232,0.56799936,24
11252,4.1176667,23
11296,1.7320006,16
11312,9.161667,15
11328,-3.104,8
11332,-0.15833318,5
11396,6.478667,16
11416,15.902337,47
11436,1.6033332,10
11444,-2.2976665,7
11456,-0.10833359,5
11476,-2.995,5
11480,-2.637,9
11500,-3.358333,5
11512,45.708664,106
11524,-3.3893332,12
11536,2.9053335,6
11568,0.38700008,11
11572,4.593,9
11600,12.462674,68
11660,0.0073331594,22
11712,31.824333,13
11716,4.073,29
11752,14.441002,63
11756,-0.38966632,11
11772,3.0816667,5
11776,14.510671,52
11824,7.0639997,12
11864,9.589004,27
11868,13.379334,38
11884,-1.9750003,15
11888,2.355,5
11912,2.2989998,7
11916,-2.2176666,7
11920,13.125669,37
11920,2.8346667,14
11944,-2.191,7
11948,-1.4576666,7
11972,1.122,6
12004,1.8616664,15
12024,-3.3083334,5
12068,9.787999,24
12096,10.119333,18
12128,4.481666,15
12152,14.766003,58
12200,21.077332,72
12212,9.440332,21
12216,7.1886673,16
12216,8.146667,30
12332,11.369669,29
12336,7.8636675,31
12356,10.388336,35
12376,-2.8216667,5
12388,-0.47533333,14
12392,33.035995,48
12404,7.8956676,17
12420,1.5693333,8
12436,3.0736666,11
12448,3.829,7
12456,-3.5049999,5
12480,10.649668,19
12496,11.060003,30
12496,2.9673336,12
12508,0.39899993,7
12508,0.21099997,13
12524,-1.9776666,7
12528,-3.2916667,5
12564,0.45633316,9
12564,4.6413326,14
12572,3.473,19
12592,-1.8676667,7
12628,0.12533331,16
12696,0.35900027,17
12704,16.425001,45
12728,1.2993333,8
12732,0.6489997,7
12748,-1.015,5
12752,-2.2016666,5
12772,2.4033334,50
12828,4.133333,20
12840,17.644003,62
12848,0.88166666,5
12860,-3.1483333,5
12876,9.800334,31
12896,-1.105,5
12924,0.25633335,19
12940,4.713333,20
12968,3.1623333,7
12972,2.1673338,12
12972,10.703003,19
13000,0.85233355,7
13020,-3.399,13
13020,-2.1716666,5
13024,29.487667,63
13076,6.5913343,14
13088,4.993,29
13100,3.793334,20
13120,-2.7606668,8
13124,-0.8759999,12
13128,1.6256665,7
13148,28.189,7
13184,23.773338,40
13252,9.908668,26
13260,4.003,19
13272,22.728666,36
13280,15.406335,39
13280,3.3383336,5
13316,-4.756333,11
13364,10.057003,21
13368,8.982999,29
13376,5.0950003,15
13384,-2.685,5
13396,-1.605,5
13404,8.763666,31
13412,-2.0809999,7
13420,-1.5056665,13
13436,26.886,8
13452,1.6846666,14
13480,5.092333,17
13484,-0.5226667,12
13512,5.921001,23
13516,-0.06366658,9
13584,19.921,33
13604,7.11,30
13640,18.723665,31
13676,-1.6256664,23
13692,6.3616657,45
13712,-1.1816667,5
13720,1.3,20
13744,2.2386665,6
13764,10.83667,40
13820,6.3553333,36
13824,33.201668,15
13864,3.6,30
13896,4.309333,18
13900,-5.2500005,20
13920,27.685,5
13924,-1.0416667,15
13936,19.718664,56
13952,0.15900016,7
13976,0.5113332,14
13992,6.9813333,14
14032,7.227998,34
14040,4.164,22
14068,-0.35099995,7
14076,-0.18300009,21
14104,-1.0510001,7
14112,11.047999,34
14128,37.541336,24
14144,-5.0303335,19
14156,7.8770003,11
14164,1.2963331,9
14192,0.8656666,7
14212,-1.4416668,5
14220,9.863001,19
14240,-2.015,5
14256,16.412668,38
14280,-0.14433336,17
14284,-3.8296666,11
14304,0.14833355,5
14308,12.169333,38
14320,-0.8366667,10
14344,-0.24933338,22
14352,1.056,8
14356,0.45766675,13
14380,1.3826668,18
14396,31.326668,10
14400,2.618,14
14404,3.652,6
14424,0.09500003,5
14428,-3.7573333,8
14468,3.8196669,29
14488,0.17499995,15
14528,-2.7,10
14544,11.468667,36
14572,6.0786667,26
14580,-3.1203334,9
14620,11.669668,49
14640,2.1560006,28
14644,-2.658,6
14660,10.467333,22
14668,-0.76100004,7
14700,-0.8633332,10
14744,2.7470002,11
14748,3.0553334,26
14776,3.745667,7
14788,-1.1996665,11
14792,10.750334,31
14796,1.5850002,5
14844,3.121333,14
14864,24.160334,71
14888,10.160999,23
14896,3.455333,26
14916,2.0176668,13
14916,4.1483335,5
14984,16.244999,35
14996,4.1733336,20
15000,13.009333,28
15000,2.1869996,21
15004,-0.7316666,5
15020,0.18499994,5
15040,0.22000027,10
15040,-1.0383334,5
15120,8.912998,29
15128,12.664333,33
15128,5.604,22
15136,6.8579993,24
15160,-0.6013334,6
15176,-1.816,12
15188,-1.7643334,7
15192,2.5920005,16
15196,-3.2816665,5
15220,25.325333,6
15248,2.6523333,7
15260,4.9993343,18
15264,2.9026666,18
15280,-0.20833325,5
15308,-1.3709999,7
15308,33.605,15
15328,22.397331,52
15336,-0.3709999,7
15344,2.9063334,9
15348,-0.68166673,5
15352,14.027333,22
15360,-0.6046665,6
15372,-2.2816668,5
15392,-1.9629999,11
15396,-0.04366684,9
15400,1.5956669,7
15408,4.628667,16
15416,-3.4383333,5
15420,-3.5316665,5
15432,2.605333,6
15452,-0.10033333,9
15468,1.2573338,12
15500,7.499,27
15512,-3.4396667,11
15540,2.9523335,7
15568,6.539666,29
15612,32.236,18
15652,5.189334,38
15672,13.356668,60
15684,-2.7206666,8
15732,2.375,15
15744,3.8279996,44
15748,14.011335,34
15772,0.75566673,7
15780,4.2113333,24
15800,0.99899995,7
15808,1.1656667,7
15828,2.045,5
15840,4.351,23
15900,13.007336,42
15904,7.079666,19
15928,27.612333,7
15948,3.5056663,27
15960,10.793333,40
15984,-0.13366663,9
16000,4.914667,24
16020,-1.3016667,5
16024,7.5513334,24
16044,4.778333,15
16072,0.1123333,7
16084,1.6653333,16
16096,2.1026664,18
16124,-2.401,7
16132,3.6506672,12
16160,2.8763335,9
16168,18.363998,52
16188,-0.8483333,5
16196,-2.027,9
16232,8.471667,25
16248,3.0449998,15
16260,-3.191,7
16264,7.9056687,17
16300,0.48100019,13
16304,1.7966667,10
16332,2.369,7
16360,-2.3743334,7
16368,3.4456666,17
16368,6.7323346,27
16376,20.368668,76
16392,2.0953336,6
16396,0.14499998,5
16408,1.4433336,10
16416,0.11800027,14
16436,26.191666,5
16472,5.406666,20
16480,3.6803324,21
16484,1.9163332,19
16496,7.7583346,15
16508,2.386333,9
16524,-2.3999999,10
16536,6.8380003,14
16544,-0.47500002,5
16588,7.154335,23
16612,8.302334,17
16624,2.0873337,22
16628,9.68,30
16636,-0.22800004,6
16664,4.749,7
16732,8.138668,26
16744,9.106333,39
16760,8.648001,24
16772,-2.09,10
16780,1.5250001,5
16792,12.9606695,42
16792,-1.4016666,5
16820,1.0123334,7
16832,4.363333,10
16876,18.977663,33
16908,2.4726665,8
16928,43.199005,27
17016,31.653002,59
17028,10.986334,49
17040,7.719334,28
17068,0.55233335,7
17116,18.150667,52
17120,-0.07233381,13
17184,25.130663,42
17204,3.6673334,22
17204,22.714666,44
17224,1.095,5
17248,7.317333,32
17252,3.324,12
17276,10.847668,23
17284,0.9029999,9
17320,5.1313343,24
17320,3.3869996,11
17340,-1.3983333,5
17344,3.9750004,15
17348,-3.7243333,7
17376,15.313663,31
17400,5.1453333,6
17404,-3.842,14
17440,0.55999994,10
17464,3.7766664,30
17476,3.9696665,9
17540,7.3720007,16
17572,25.690666,42
17576,22.90967,59
17604,-2.784,8
17640,1.5116667,25
17664,6.0573335,22
17672,-0.8509996,17
17676,1.5196671,9
17696,1.655,5
17704,-1.4533334,10
17708,-0.3636667,9
17740,1.516,8
17756,1.0243332,13
17784,-3.701,7
17804,5.175334,16
17812,40.838985,87
17812,5.009,7
17848,2.2929997,9
17856,0.48766696,13
17864,5.7943335,13
17868,2.0616667,5
17876,-2.0683336,5
17948,14.261003,63
17972,5.0579996,24
18000,4.814333,13
18020,1.7483332,5
