timestep,ep_reward,ep_length
10320,16.644005,32
10324,12.378999,47
10332,14.304004,42
10360,1.6856666,7
10420,13.391667,15
10432,7.351667,35
10432,10.072668,28
10432,13.565666,27
10464,0.56366634,11
10508,15.996334,19
10536,1.0723331,7
10572,-4.207,9
10580,3.5889997,37
10612,-3.6633334,10
10616,1.8659993,38
10640,36.905,15
10664,3.1220002,6
10700,31.075666,67
10716,17.568335,25
10744,10.5843315,33
10744,7.2633333,20
10764,28.818666,16
10772,1.5423334,7
10776,0.26833344,15
10792,-2.081,7
10816,3.6953332,6
10816,1.7403333,11
10820,4.703667,11
10860,28.240334,11
10880,-1.8983333,5
10884,2.6956666,17
10920,0.45633328,9
10924,8.803667,11
10940,7.2033315,30
10952,8.242667,8
10956,1.1560001,8
10972,1.7850001,5
10980,1.9766666,10
10992,19.690666,62
11016,2.3616662,15
11016,-1.113,11
11028,0.31400037,12
11036,0.15499997,5
11080,2.7220001,16
11092,1.0616665,25
11096,-2.0376668,17
11128,10.304332,23
11140,4.9836664,11
11144,2.8876667,13
11148,3.7416663,5
11180,7.424999,25
11192,25.167,11
11220,3.729667,19
11224,11.040335,21
11232,25.756666,10
11244,0.41166687,5
11256,7.0863333,19
11264,-2.1496668,11
11304,5.8066664,10
11336,11.857668,23
11356,6.2009997,13
11376,4.623334,10
11416,6.995,15
11424,15.014,42
11432,8.373334,50
11468,1.7836666,11
11512,-3.383,11
11548,32.333,9
11556,9.260334,31
11576,-0.60766673,7
11600,8.535337,46
11636,11.658333,15
11644,4.8236666,11
11664,-0.14766666,7
11688,10.350334,11
11704,5.156666,10
11712,2.8019998,6
11764,18.937332,52
11776,4.3653336,16
11780,46.88699,101
11808,-1.3609998,7
11828,0.30433345,13
11836,8.506001,18
11840,20.764664,34
11848,-2.9016666,5
11852,3.1836665,11
11892,-1.7089999,13
11920,36.689335,18
11992,11.475,25
12000,9.220335,41
12032,21.201666,45
12052,1.8143338,13
12056,0.96533304,16
12060,-0.010999918,7
12080,-0.9916667,5
12080,28.673332,40
12108,3.2089999,7
12120,12.249001,17
12120,-2.2733335,10
12128,-1.3183334,5
12140,4.665,5
12164,9.269667,9
12176,-0.84866667,14
12184,1.4083333,5
12188,33.887333,12
12216,2.3990002,7
12220,-2.3763332,11
12272,22.17133,54
12292,3.7329998,19
12304,7.830334,21
12320,27.159,7
12352,2.0493336,8
12384,-1.9473333,8
12456,15.402002,46
12484,13.011668,25
12516,0.085000515,15
12540,26.056332,59
12552,-1.8736668,9
12560,9.471331,94
12600,3.3339996,12
12628,3.7906666,22
12640,0.8800001,20
12688,9.447,51
12720,5.5843334,23
12732,7.8809996,23
12756,17.973,39
12760,1.6266665,10
12808,29.251,13
12812,15.467001,31
12828,5.949001,17
12844,39.632668,28
12872,2.942333,7
12892,0.08166647,5
12908,2.813333,20
12948,15.471668,35
12956,4.9873333,12
12976,-1.2043334,7
12988,7.7980003,24
13008,0.8516669,5
13056,4.560667,12
13096,13.261669,35
13112,26.385,75
13116,-1.0216668,5
13132,5.8463335,19
13172,0.52166677,15
13176,22.599998,50
13212,21.261333,24
13240,-1.7643334,7
13256,9.693668,31
13308,2.0743332,13
13324,1.5256667,37
13332,6.801001,23
13340,20.473997,42
13372,2.937333,12
13392,3.9843333,13
13408,3.4996667,9
13444,8.551002,13
13468,23.11333,40
13504,3.6550002,15
13524,13.266335,29
13548,30.897995,54
13556,10.594002,22
13652,6.942001,26
13664,4.8016663,35
13664,44.699,27
13676,7.221,43
13692,6.3890014,7
13716,5.18,10
13748,4.881335,24
13748,2.5669994,21
13752,1.7783332,15
13752,4.8463335,9
13804,0.077667,13
13820,3.7393336,18
13844,-2.4819996,24
13856,-0.689,13
13864,10.602667,28
13892,-2.5226667,12
13892,-1.9536667,9
13892,1.1656666,7
13900,2.6733327,20
13916,1.362,6
13944,0.28699994,11
13960,8.885668,17
13996,5.5733337,20
14008,3.284,12
14040,-2.2673335,8
14044,4.684,12
14088,18.976332,49
14088,7.480667,12
14136,21.812666,48
14156,1.7589998,17
14160,6.5393333,18
14176,-1.6683333,5
14180,29.320333,11
14220,6.856667,10
14248,6.317333,22
14268,1.9116666,5
14284,8.1519985,16
14304,24.775,65
14312,4.487,11
14332,-1.0526667,12
14348,3.1563334,9
14352,25.798332,5
14364,15.495666,47
14384,27.891666,5
14412,9.202334,27
14440,2.582333,7
14444,-0.24233341,23
14464,-1.3616667,5
14484,-3.0916667,5
14484,22.311665,25
14504,12.296333,39
14512,1.359,7
14532,31.615665,7
14548,9.815668,27
14580,4.169333,8
14636,3.6303327,31
14664,-0.19633317,21
14684,-1.6016667,5
14688,21.50034,51
14712,-0.27100015,7
14728,8.186667,10
14764,5.6140013,32
14772,0.697,11
14772,33.723324,60
14792,-2.0683331,5
14796,0.93699956,21
14860,36.349,17
14860,8.874001,22
14880,25.911667,5
14944,3.2103329,21
14972,1.1656663,7
15024,24.982338,57
15040,2.955667,17
15044,25.878334,5
15132,10.091001,23
15132,48.92067,92
15168,-1.6936667,9
15176,0.06366655,11
15236,8.855667,17
15244,25.74667,50
15268,3.839333,8
15272,1.5356667,7
15276,5.348334,25
15292,-2.225,5
15300,18.408344,105
15312,1.845,5
15348,-0.666,12
15420,13.635668,27
15440,3.601667,5
15452,13.542004,46
15456,20.564999,45
15484,2.5569997,11
15524,5.756,18
15540,4.794667,14
15544,-1.8016667,5
15560,-3.2883332,5
15564,9.009,27
15564,1.0483334,5
15564,9.121334,54
15600,-0.3269999,9
15608,-2.879333,12
15624,0.7650002,15
15628,0.70233345,7
15652,1.6023338,7
15700,4.4193335,18
15712,4.045,15
15732,0.32500005,5
15740,1.74,10
15780,4.0166664,10
15800,14.232334,17
15800,-0.6616667,5
15848,2.6539993,12
15852,30.880665,72
15864,6.995334,16
